,,,,,,,,,,,,
№,НАИМЕНОВАНИЯ,ИНН,НДС,Бухгалтер,bank klient,Столбец7,Назоратчи,Столбец10,% банк клиент,% бухгалтер,Ёркиной,Назоратчи  %
117,SAFORT HOUSE,,,Humora,Ruslan,"500,000.00",Go'zaloy,20.00,"25,000.00",100000,35000,25000
118,INVEST PERSONA,,,Humora,Ruslan,"500,000.00",Go'zaloy,20.00,"25,000.00",100000,35000,25000
119,STANDART CHICKEN,,,Musobek,,"12,000,000.00",Go'zaloy,20.00,,3000000,600000,600000
120,ROYAL BEAUTY,,,Hasan,,"800,000.00",Muslimbek,20.00,,160000,56000,40000
121,PATRONUM,,,Hasan,Ruslan,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
122,LIVINGSTONE,,,Maxmuda,,"3,000,000.00",Go'zaloy,20.00,,600000,210000,150000
123,AFUBBA,,,Abrorbek,Ruslan,"300,000.00",Go'zaloy,20.00,"15,000.00",60000,21000,15000
124,NODIR TRADING,,,Abrorbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
125,SMS 86,,,Abrorbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
126,AFUBBA 1149,,,Abrorbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
127,1149 ALKIMYOGAR ,,,Abrorbek,Ruslan,"300,000.00",Go'zaloy,20.00,"15,000.00",60000,21000,15000
128,NEW ALKIMYOGAR GROUR,,,Abrorbek,Ruslan,"400,000.00",Go'zaloy,20.00,"20,000.00",80000,28000,20000
129,DINAR CLASS,,,Hasan,Ruslan,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
130,BINAAR,,,Olloshukur,,0.00,Go'zaloy,20.00,,0,0,0
131,SAFETY CCTV,,,Humora,Azizbek,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
132,INTER DELEKATES,,,Maxmuda,Ruslan,0.00,Go'zaloy,20.00,0.00,0,0,0
133,STAR KAMERA,,,Mirabbos,Azizbek,"4,000,000.00",Muslimbek,20.00,"200,000.00",800000,280000,200000
134,AHSAN TECHNOLOGY,,,Mirabbos,Azizbek,0.00,Muslimbek,20.00,0.00,0,0,0
135,BIG TEAM,,,Mirabbos,Azizbek,0.00,Muslimbek,20.00,0.00,0,0,0
136,TIM BUILD INDUSTRY,,,Mirahmad,Azizbek,"2,000,000.00",Muslimbek,20.00,"100,000.00",400000,140000,100000
137,GARANT KOMPLEKS,,,Humora,,0.00,Go'zaloy,20.00,,0,0,0
138,TASTIFY,,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
139,REEF TRADE,,,Sherzod,,"500,000.00",Go'zaloy,20.00,0.00,100000,35000,25000
140,ELSANQURILISH,,,Abrorbek,,"6,000,000.00",Go'zaloy,20.00,,1200000,420000,300000
141,KIDDLE LAND,,,Sevara,,"750,000.00",Zamira,20.00,,150000,52500,37500
142,JASURBEK YUKSALISH OMAD,,,Dilhush,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
143,ULTIMATE ENERGY,,,Dilhush,Ruslan,"500,000.00",Go'zaloy,20.00,"25,000.00",100000,35000,25000
144,REAL RESPECT GROUP,,,Mirabbos,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
145,DIGITAL MASTERS ACADEMY,,,Maxmuda,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
146,NOMDOR OSH,,,Maxmuda,Ruslan,0.00,Go'zaloy,20.00,0.00,0,0,0
147,AVVITAL NATURALS,,,Muslimbek,Bekzod,"500,000.00",Go'zaloy,20.00,"25,000.00",100000,35000,25000
148,SHIFO DOKTOR XASAN,,,Abdugani,Ruslan,"3,000,000.00",Go'zaloy,20.00,"150,000.00",600000,210000,150000
149,DOOS DISTRIBUTION,,,Javohir,Azizbek,"5,000,000.00",Muslimbek,25.00,"250,000.00",1250000,350000,250000
150,ZVEZDA FARM,,,Javohir,Azizbek,0.00,Muslimbek,20.00,0.00,0,0,0
151,HUMMA,,,Mohirbek,Azizbek,"500,000.00",Musobek,20.00,"25,000.00",100000,35000,25000
152,AVTO YOL XIZMATI MARKAZI,,,Dilhush,,"500,000.00",Go'zaloy,20.00,0.00,100000,35000,25000
153,YOL TRANS SANOATI,,,Dilhush,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
154,FC YOLBARS,,,Otabek,Ruslan,"700,000.00",Muslimbek,20.00,"35,000.00",140000,49000,35000
155,MASHXUR TAOM,,,Musobek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
